FormName,FormFreq,Username,The people I work with have excellent knowledge of autism,"I feel that if a new person was to join the team and they disclosed they were autistic, they would be well supported and understood by others",I feel that the management of the team are constantly improving their knowledge about autism,It is easy to find information within the organisation about supporting autistic employees,There are established pathways for autistic people to seek advice and support for managing their daily work activities,The organisation has been proactive in making adjustments and providing autism awareness training for employees,I think the organisation performs better than other organisations in the sector in terms of quality of support for autistic employees,Date,ID
Autistica - Organisational Culture,30,22222222,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,01/01/2019,1
Autistica - Organisational Culture,30,11111111,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,01/01/2019,2
Autistica - Organisational Culture,30,12077101,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,01/01/2019,3
Autistica - Organisational Culture,30,38961843,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,01/01/2019,4
Autistica - Organisational Culture,30,67611589,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,01/01/2019,5
Autistica - Organisational Culture,30,32500162,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,01/01/2019,6
Autistica - Organisational Culture,30,90705766,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,01/01/2019,7
Autistica - Organisational Culture,30,46465154,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,01/01/2019,8
Autistica - Organisational Culture,30,36480781,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,01/01/2019,9
Autistica - Organisational Culture,30,86004302,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,01/01/2019,10
Autistica - Organisational Culture,30,74046800,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,01/01/2019,11
Autistica - Organisational Culture,30,67512682,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,01/01/2019,12
Autistica - Organisational Culture,30,87436666,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,01/01/2019,13
Autistica - Organisational Culture,30,28755653,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,01/01/2019,14
Autistica - Organisational Culture,30,66722819,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,01/01/2019,15
Autistica - Organisational Culture,30,65438804,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,01/01/2019,16
Autistica - Organisational Culture,30,15938146,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,01/01/2019,17
Autistica - Organisational Culture,30,37603401,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,01/01/2019,18
Autistica - Organisational Culture,30,23337145,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,01/01/2019,19
Autistica - Organisational Culture,30,99599196,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,01/01/2019,20
Autistica - Organisational Culture,30,25718877,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,01/01/2019,21
Autistica - Organisational Culture,30,97909632,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,01/01/2019,22
Autistica - Organisational Culture,30,40268226,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,01/01/2019,23
Autistica - Organisational Culture,30,63985686,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,01/01/2019,24
Autistica - Organisational Culture,30,63237915,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,01/01/2019,25
Autistica - Organisational Culture,30,50544037,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,01/01/2019,26
Autistica - Organisational Culture,30,14286843,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,01/01/2019,27
Autistica - Organisational Culture,30,53175760,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,01/01/2019,28
Autistica - Organisational Culture,30,56361261,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,01/01/2019,29
Autistica - Organisational Culture,30,66411825,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,01/01/2019,30
Autistica - Organisational Culture,30,34060153,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,01/01/2019,31
Autistica - Organisational Culture,30,11168511,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,01/01/2019,32
Autistica - Organisational Culture,30,85920205,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,01/01/2019,33
Autistica - Organisational Culture,30,83766303,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,01/01/2019,34
Autistica - Organisational Culture,30,64793738,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,01/01/2019,35
Autistica - Organisational Culture,30,59096037,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,01/01/2019,36
Autistica - Organisational Culture,30,77773077,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,01/01/2019,37
Autistica - Organisational Culture,30,47375033,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,01/01/2019,38
Autistica - Organisational Culture,30,39847852,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,01/01/2019,39
Autistica - Organisational Culture,30,68971632,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,01/01/2019,40
Autistica - Organisational Culture,30,22090963,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,01/01/2019,41
Autistica - Organisational Culture,30,60377624,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,01/01/2019,42
Autistica - Organisational Culture,30,30738880,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,01/01/2019,43
Autistica - Organisational Culture,30,86589369,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,01/01/2019,44
Autistica - Organisational Culture,30,66155821,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,01/01/2019,45
Autistica - Organisational Culture,30,61677296,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,01/01/2019,46
Autistica - Organisational Culture,30,56419454,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,01/01/2019,47
Autistica - Organisational Culture,30,86397034,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,01/01/2019,48
Autistica - Organisational Culture,30,41455969,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,01/01/2019,49
Autistica - Organisational Culture,30,23394144,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,01/01/2019,50
Autistica - Organisational Culture,30,21326904,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,01/01/2019,51
Autistica - Organisational Culture,30,44980497,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,01/01/2019,52
Autistica - Organisational Culture,30,38982647,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,01/01/2019,53
Autistica - Organisational Culture,30,80484260,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,01/01/2019,54
Autistica - Organisational Culture,30,24052776,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,01/01/2019,55
