FormName,FormFreq,Username,"Over the last week, or since you last completed this question, please provide reflections about any misunderstandings you have experienced in the workplace, why you think they occurred, and how you think they were (or could be) successfully resolved? (please remember not to use real names of people you work with)","Over the last week, or since you last completed this question, please provide reflections about any successes you have experienced in the workplace? (please remember not to use real names of people you work with)","Please describe any adjustments (i.e. physcial changes to your workspace, management changes to the processes for completing tasks, or logistical changes to working hours or transport to work)","If you have encountered any stories about autism in the media, could you describe them and its impact on you?",Any other reflections that you would like to share? (please remember not to use real names of people you work with),Date,Date GMT,ID
Autistica - Adjustments,7,22222222,"I think there could be better communication, when I get instructions verbally I am overwhelmed",I have successfully managed a team to complete a project,I have tried using flexi hours,"I saw another study involving autism in mice, this is unhelpful as mice are not complex social creatures",Nope,29th October 2019 11:54 am,29th October 2019 11:54 am,573
Autistica - Adjustments,7,32500162,Sometime people misread my facial expressions,I was successful in factoring in enough time to arrive at meetings without feeling flushed,I have tried using headphones and restricting emails to certain periods of the day,I read that autism is being diagnosed more often,I can’t think of any right now,29th October 2019 11:53 am,29th October 2019 11:53 am,572
Autistica - Adjustments,7,90705766,My manager often criticises me,I was successful in meeting my deadlines,I have been unsucessful in asking for a quiet space,I watched a video about autism and employment,Not sure what to say,9th September 2019 6:27 pm,9th September 2019 6:27 pm,553
Autistica - Adjustments,7,46465154,Not sure what to say,I enjoyed my work this week,I have requested to not attend social events,I have not seen anything in the media about autism,I think there should be better pathways to requesting adjustments,22nd August 2019 9:16 am,22nd August 2019 9:16 am,533
Autistica - Adjustments,7,22222222,"I think there could be better communication, when I get instructions verbally I am overwhelmed",I have successfully managed a team to complete a project,I have tried using flexi hours,"I saw another study involving autism in mice, this is unhelpful as mice are not complex social creatures",Nope,20th August 2019 9:16 am,20th August 2019 9:16 am,528
Autistica - Adjustments,7,11111111,Sometime people misread my facial expressions,I was successful in factoring in enough time to arrive at meetings without feeling flushed,I have tried using headphones and restricting emails to certain periods of the day,I read that autism is being diagnosed more often,I can’t think of any right now,18th August 2019 9:16 am,18th August 2019 9:16 am,523
Autistica - Adjustments,7,12077101,My manager often criticises me,I was successful in meeting my deadlines,I have been unsucessful in asking for a quiet space,I watched a video about autism and employment,Not sure what to say,15th August 2019 9:16 am,15th August 2019 9:16 am,518
Autistica - Adjustments,7,38961843,Not sure what to say,I enjoyed my work this week,I have requested to not attend social events,I have not seen anything in the media about autism,I think there should be better pathways to requesting adjustments,12th August 2019 9:16 am,12th August 2019 9:16 am,513
Autistica - Adjustments,7,67611589,"I think there could be better communication, when I get instructions verbally I am overwhelmed",I have successfully managed a team to complete a project,I have tried using flexi hours,"I saw another study involving autism in mice, this is unhelpful as mice are not complex social creatures",Nope,10th August 2019 9:16 am,10th August 2019 9:16 am,508
Autistica - Adjustments,7,32500162,Sometime people misread my facial expressions,I was successful in factoring in enough time to arrive at meetings without feeling flushed,I have tried using headphones and restricting emails to certain periods of the day,I read that autism is being diagnosed more often,I can’t think of any right now,9th August 2019 9:16 am,9th August 2019 9:16 am,503
