FormName,FormFreq,Username,Know what is expected of you as a worker,Help build a team as a working unit,Determine what is expected of you on the job,"Know how things ""really work"" inside an organisation",Work under pressure,Master an organisation's slang and special jargon,Manage conflict among group members,Understand what all of the duties of your role entail,Solve new and difficult problems,Work under extreme cricumstances,Understand the politics in the organisation,Continue to learn once you're on the job,Develop cooperative working relationships with others,Invent new ways of doing things,Solve most problems even though no solution is immediately apparent,Find out exactly what a problem is when fist becoming aware of it,Listen effectively to gain information,Know an organisation's long-held traditions,Work well in situations that other people consider stressful,Understand the behaviour appropriate to your role,Challenge things that are done by the book,Learn from your mistakes,Solve problems no matter how complex,Coordinate tasks within you work group,Learn to improve on your past performance,Be sensitive to other's feelings and attitudes,Function well at work even when faced with personal difficulties,Concentrate on what someone is saying to you even though other things could distract you,Listen effectively to understand opposing points of view,Have the skills and abilities to do my job properly,Date,ID
Autistica - Work: Self Confidence,120,22222222,A little,Moderate,A little,Moderate,A little,A little,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,01/01/2019,1
Autistica - Work: Self Confidence,120,11111111,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,01/01/2019,2
Autistica - Work: Self Confidence,120,12077101,A little,A little,A little,Moderate,Moderate,A little,A little,A little,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,01/01/2019,3
Autistica - Work: Self Confidence,120,38961843,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,A little,A little,A little,Moderate,A little,A little,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,01/01/2019,4
Autistica - Work: Self Confidence,120,67611589,A little,Moderate,A little,Moderate,A little,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,A little,A little,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,01/01/2019,5
Autistica - Work: Self Confidence,120,32500162,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,A little,A little,A little,A little,A little,Moderate,A little,A little,A little,01/01/2019,6
Autistica - Work: Self Confidence,120,90705766,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,A little,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,A little,A little,01/01/2019,7
Autistica - Work: Self Confidence,120,46465154,A little,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,A little,A little,Moderate,Moderate,A little,A little,A little,Moderate,A little,A little,Moderate,A little,Moderate,A little,Moderate,01/01/2019,8
Autistica - Work: Self Confidence,120,36480781,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,01/01/2019,9
Autistica - Work: Self Confidence,120,86004302,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,A little,A little,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,01/01/2019,10
Autistica - Work: Self Confidence,120,74046800,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,A little,A little,Moderate,Moderate,01/01/2019,11
Autistica - Work: Self Confidence,120,67512682,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,01/01/2019,12
Autistica - Work: Self Confidence,120,87436666,A little,Moderate,A little,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,01/01/2019,13
Autistica - Work: Self Confidence,120,28755653,Moderate,A little,Moderate,Moderate,A little,A little,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,A little,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,01/01/2019,14
Autistica - Work: Self Confidence,120,66722819,Moderate,Moderate,A little,Moderate,A little,A little,A little,A little,A little,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,A little,01/01/2019,15
Autistica - Work: Self Confidence,120,65438804,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,A little,A little,A little,A little,Moderate,A little,A little,A little,Moderate,Moderate,A little,A little,A little,Moderate,A little,A little,A little,A little,Moderate,A little,Moderate,Moderate,A little,01/01/2019,16
Autistica - Work: Self Confidence,120,15938146,A little,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,A little,Moderate,01/01/2019,17
Autistica - Work: Self Confidence,120,37603401,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,A little,01/01/2019,18
Autistica - Work: Self Confidence,120,23337145,Moderate,A little,A little,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,01/01/2019,19
Autistica - Work: Self Confidence,120,99599196,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,A little,A little,A little,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,01/01/2019,20
Autistica - Work: Self Confidence,120,25718877,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,A little,A little,A little,Moderate,A little,A little,A little,A little,A little,Moderate,A little,A little,Moderate,A little,Moderate,A little,Moderate,A little,A little,01/01/2019,21
Autistica - Work: Self Confidence,120,97909632,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,A little,A little,Moderate,Moderate,01/01/2019,22
Autistica - Work: Self Confidence,120,40268226,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,A little,A little,Moderate,01/01/2019,23
Autistica - Work: Self Confidence,120,63985686,A little,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,A little,Moderate,A little,A little,A little,A little,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,A little,A little,A little,01/01/2019,24
